,Datetime,State,Confirmed,Cured,Deaths
355,2020-03-25 18:00:00,Punjab,29,0,1
356,2020-03-25 18:00:00,Rajasthan,36,3,0
357,2020-03-25 18:00:00,Tamil Nadu,18,1,0
358,2020-03-25 18:00:00,Telangana,35,1,0
359,2020-03-25 18:00:00,Chandigarh,7,0,0
360,2020-03-25 18:00:00,Jammu and Kashmir,7,1,0
361,2020-03-25 18:00:00,Ladakh,13,0,0
362,2020-03-25 18:00:00,Uttar Pradesh,37,11,0
363,2020-03-25 18:00:00,Uttarakhand,4,0,0
364,2020-03-25 18:00:00,West Bengal,9,0,1
365,2020-03-26 18:00:00,Andaman and Nicobar Islands,1,0,0
366,2020-03-26 18:00:00,Andhra Pradesh,11,1,0
367,2020-03-26 18:00:00,Bihar,6,0,1
368,2020-03-26 18:00:00,Chandigarh,7,0,0
369,2020-03-26 18:00:00,Chhattisgarh,6,0,0
370,2020-03-26 18:00:00,Delhi,36,6,1
371,2020-03-26 18:00:00,Goa,3,0,0
372,2020-03-26 18:00:00,Gujarat,43,0,3
373,2020-03-26 18:00:00,Haryana,30,11,0
374,2020-03-26 18:00:00,Himachal Pradesh,3,0,1
375,2020-03-26 18:00:00,Jammu and Kashmir,13,1,0
376,2020-03-26 18:00:00,Karnataka,55,3,2
377,2020-03-26 18:00:00,Kerala,118,6,0
378,2020-03-26 18:00:00,Ladakh,13,0,0
379,2020-03-26 18:00:00,Madhya Pradesh,20,0,1
380,2020-03-26 18:00:00,Maharashtra,124,1,3
381,2020-03-26 18:00:00,Manipur,1,0,0
382,2020-03-26 18:00:00,Mizoram,1,0,0
383,2020-03-26 18:00:00,Odisha,2,0,0
384,2020-03-26 18:00:00,Puducherry,1,0,0
385,2020-03-26 18:00:00,Punjab,33,0,1
386,2020-03-26 18:00:00,Rajasthan,41,3,0
387,2020-03-26 18:00:00,Tamil Nadu,26,1,1
388,2020-03-26 18:00:00,Telangana,44,1,0
389,2020-03-26 18:00:00,Uttarakhand,5,0,0
390,2020-03-26 18:00:00,Uttar Pradesh,41,11,0
391,2020-03-26 18:00:00,West Bengal,10,0,1
392,2020-03-27 10:00:00,Andaman and Nicobar Islands,1,0,0
393,2020-03-27 10:00:00,Andhra Pradesh,12,1,0
394,2020-03-27 10:00:00,Bihar,6,0,1
395,2020-03-27 10:00:00,Chandigarh,7,0,0
396,2020-03-27 10:00:00,Chhattisgarh,6,0,0
397,2020-03-27 10:00:00,Delhi,36,6,1
398,2020-03-27 10:00:00,Goa,3,0,0
399,2020-03-27 10:00:00,Gujarat,43,0,3
400,2020-03-27 10:00:00,Haryana,30,11,0
401,2020-03-27 10:00:00,Himachal Pradesh,3,0,1
402,2020-03-27 10:00:00,Jammu and Kashmir,13,1,1
403,2020-03-27 10:00:00,Karnataka,55,3,2
404,2020-03-27 10:00:00,Kerala,137,11,0
405,2020-03-27 10:00:00,Ladakh,13,3,0
406,2020-03-27 10:00:00,Madhya Pradesh,20,0,1
407,2020-03-27 10:00:00,Maharashtra,130,15,4
408,2020-03-27 10:00:00,Manipur,1,0,0
409,2020-03-27 10:00:00,Mizoram,1,0,0
410,2020-03-27 10:00:00,Odisha,2,0,0
411,2020-03-27 10:00:00,Puducherry,1,0,0
412,2020-03-27 10:00:00,Punjab,33,0,1
413,2020-03-27 10:00:00,Rajasthan,41,3,0
414,2020-03-27 10:00:00,Tamil Nadu,29,1,1
415,2020-03-27 10:00:00,Telangana,45,1,0
416,2020-03-27 10:00:00,Uttarakhand,5,0,0
417,2020-03-27 10:00:00,Uttar Pradesh,41,11,0
418,2020-03-27 10:00:00,West Bengal,10,0,1
419,2020-03-28 18:00:00,Andhra Pradesh,14,1,0
420,2020-03-28 18:00:00,Andaman and Nicobar Islands,6,0,0
421,2020-03-28 18:00:00,Bihar,9,0,1
422,2020-03-28 18:00:00,Chandigarh,8,0,0
423,2020-03-28 18:00:00,Chhattisgarh,6,0,0
424,2020-03-28 18:00:00,Delhi,39,6,1
425,2020-03-28 18:00:00,Goa,3,0,0
426,2020-03-28 18:00:00,Gujarat,45,0,3
427,2020-03-28 18:00:00,Haryana,33,12,0
428,2020-03-28 18:00:00,Himachal Pradesh,3,0,1
429,2020-03-28 18:00:00,Jammu and Kashmir,20,1,1
430,2020-03-28 18:00:00,Karnataka,55,3,2
431,2020-03-28 18:00:00,Kerala,176,11,0
432,2020-03-28 18:00:00,Ladakh,13,3,0
433,2020-03-28 18:00:00,Madhya Pradesh,30,0,2
434,2020-03-28 18:00:00,Maharashtra,180,25,5
435,2020-03-28 18:00:00,Manipur,1,0,0
436,2020-03-28 18:00:00,Mizoram,1,0,0
437,2020-03-28 18:00:00,Odisha,3,0,0
438,2020-03-28 18:00:00,Puducherry,1,0,0
439,2020-03-28 18:00:00,Punjab,38,1,1
440,2020-03-28 18:00:00,Rajasthan,54,3,0
441,2020-03-28 18:00:00,Tamil Nadu,40,2,1
442,2020-03-28 18:00:00,Telangana,56,1,0
443,2020-03-28 18:00:00,Uttarakhand,5,0,0
444,2020-03-28 18:00:00,Uttar Pradesh,55,11,0
445,2020-03-28 18:00:00,West Bengal,15,0,1
446,2020-03-29 19:30:00,Andhra Pradesh,19,1,0
447,2020-03-29 19:30:00,Andaman and Nicobar Islands,9,0,0
448,2020-03-29 19:30:00,Bihar,11,0,1
449,2020-03-29 19:30:00,Chandigarh,8,0,0
450,2020-03-29 19:30:00,Chhattisgarh,7,0,0
451,2020-03-29 19:30:00,Delhi,49,6,2
452,2020-03-29 19:30:00,Goa,5,0,0
453,2020-03-29 19:30:00,Gujarat,58,1,5
454,2020-03-29 19:30:00,Haryana,33,17,0
455,2020-03-29 19:30:00,Himachal Pradesh,3,0,1
456,2020-03-29 19:30:00,Jammu and Kashmir,31,1,2
457,2020-03-29 19:30:00,Karnataka,76,5,3
458,2020-03-29 19:30:00,Kerala,182,15,1
459,2020-03-29 19:30:00,Ladakh,13,3,0
460,2020-03-29 19:30:00,Madhya Pradesh,30,0,2
461,2020-03-29 19:30:00,Maharashtra,186,25,6
462,2020-03-29 19:30:00,Manipur,1,0,0
463,2020-03-29 19:30:00,Mizoram,1,0,0
464,2020-03-29 19:30:00,Odisha,3,0,0
465,2020-03-29 19:30:00,Puducherry,1,0,0
466,2020-03-29 19:30:00,Punjab,38,1,1
467,2020-03-29 19:30:00,Rajasthan,55,3,0
468,2020-03-29 19:30:00,Tamil Nadu,49,4,1
469,2020-03-29 19:30:00,Telangana,66,1,1
470,2020-03-29 19:30:00,Uttarakhand,7,2,0
471,2020-03-29 19:30:00,Uttar Pradesh,65,11,0
472,2020-03-29 19:30:00,West Bengal,18,0,1
473,2020-03-30 21:30:00,Andhra Pradesh,23,1,0
474,2020-03-30 21:30:00,Andaman and Nicobar Islands,9,0,0
475,2020-03-30 21:30:00,Bihar,15,0,1
476,2020-03-30 21:30:00,Chandigarh,8,0,0
477,2020-03-30 21:30:00,Chhattisgarh,7,0,0
478,2020-03-30 21:30:00,Delhi,87,6,2
479,2020-03-30 21:30:00,Goa,5,0,0
480,2020-03-30 21:30:00,Gujarat,69,1,6
481,2020-03-30 21:30:00,Haryana,36,18,0
482,2020-03-30 21:30:00,Himachal Pradesh,3,0,1
483,2020-03-30 21:30:00,Jammu and Kashmir,48,2,2
484,2020-03-30 21:30:00,Karnataka,83,5,3
485,2020-03-30 21:30:00,Kerala,202,19,1
486,2020-03-30 21:30:00,Ladakh,13,3,0
487,2020-03-30 21:30:00,Madhya Pradesh,47,0,3
488,2020-03-30 21:30:00,Maharashtra,198,25,8
489,2020-03-30 21:30:00,Manipur,1,0,0
490,2020-03-30 21:30:00,Mizoram,1,0,0
491,2020-03-30 21:30:00,Odisha,3,0,0
492,2020-03-30 21:30:00,Puducherry,1,0,0
493,2020-03-30 21:30:00,Punjab,38,1,1
494,2020-03-30 21:30:00,Rajasthan,59,3,0
495,2020-03-30 21:30:00,Tamil Nadu,67,4,1
496,2020-03-30 21:30:00,Telangana,71,1,1
497,2020-03-30 21:30:00,Uttarakhand,7,2,0
